date,gender,category,product_name,sales,quantity,discount,profit,shipping_cost
1/2/2018,Female,Auto & Accessories,Car Media Players,140,1,0.3,46,4.6
7/24/2018,Female,Auto & Accessories,Car Speakers,211,1,0.3,112,11.2
11/8/2018,Female,Auto & Accessories,Car Body Covers,117,5,0.1,31.2,3.1
4/18/2018,Female,Auto & Accessories,Car & Bike Care,118,1,0.3,26.2,2.6
8/13/2018,Female,Auto & Accessories,Tyre,250,1,0.3,160,16
7/9/2018,Female,Auto & Accessories,Bike Tyres,72,1,0.3,24,2.4
5/16/2018,Female,Auto & Accessories,Car Mat,54,1,0.3,54,5.4
6/23/2018,Female,Auto & Accessories,Car Seat Covers,114,5,0.2,22.6,2.3
7/29/2018,Female,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.3,116.4,11.6
5/16/2018,Female,Auto & Accessories,Car Media Players,140,1,0.2,54.4,5.4
7/13/2018,Female,Auto & Accessories,Car Speakers,211,4,0.1,122.6,12.3
10/7/2018,Female,Auto & Accessories,Car Body Covers,117,4,0.3,18.3,1.8
7/25/2018,Female,Auto & Accessories,Car & Bike Care,118,1,0.2,35.6,3.6
12/1/2018,Female,Auto & Accessories,Tyre,250,1,0.3,140,14
10/7/2018,Female,Auto & Accessories,Bike Tyres,72,4,0.1,18,1.8
6/2/2018,Female,Auto & Accessories,Car Mat,54,1,0.1,27,2.7
3/26/2018,Female,Auto & Accessories,Car Seat Covers,114,1,0.3,22.6,2.3
4/21/2018,Female,Auto & Accessories,Car Pillow & Neck Rest,231,5,0.3,93.3,9.3
1/26/2018,Female,Auto & Accessories,Car Media Players,140,1,0.3,46,4.6
2/18/2018,Female,Auto & Accessories,Car Speakers,211,1,0.2,122.6,12.3
12/15/2018,Female,Auto & Accessories,Car Body Covers,117,5,0.1,31.2,3.1
8/3/2018,Female,Auto & Accessories,Car & Bike Care,118,1,0.3,30.9,3.1
6/8/2018,Female,Auto & Accessories,Tyre,250,4,0.2,150,15
11/9/2018,Female,Auto & Accessories,Bike Tyres,72,4,0.2,18,1.8
8/20/2018,Female,Auto & Accessories,Car Mat,54,1,0.3,54,5.4
10/4/2018,Female,Auto & Accessories,Car Seat Covers,114,4,0.2,24.9,2.5
12/12/2018,Female,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.3,144.1,14.4
5/2/2018,Female,Auto & Accessories,Car Media Players,140,1,0.3,55.8,5.6
8/25/2018,Female,Auto & Accessories,Car Speakers,211,1,0.3,112,11.2
11/10/2018,Female,Auto & Accessories,Car Body Covers,117,1,0.2,34.7,3.5
9/16/2018,Female,Auto & Accessories,Car & Bike Care,118,1,0.3,27.4,2.7
3/12/2018,Female,Auto & Accessories,Tyre,250,1,0.2,165,16.5
