date,category,product_name,quantity,price,total_amount,discount,final_amount
8/26/2023,Produce,Pasta,2,7.46,14.92,0,14.92
2/13/2024,Dairy,Cheese,1,1.85,1.85,3.41,-1.56
11/23/2023,Bakery,Onions,4,7.38,29.52,4.04,25.48
1/13/2025,Snacks & Candy,Cereal,3,5.5,16.5,1.37,15.13
10/13/2023,Canned Goods,Orange Juice,5,8.66,43.3,1.5,41.8
8/31/2023,Dairy,Onions,3,25.04,75.12,1.77,73.35
10/18/2023,Produce,Ground Beef,3,29.56,88.68,2.52,86.16
2/3/2024,Health & Wellness,Orange Juice,2,11.73,23.46,0,23.46
11/16/2024,Household Items,Apples,5,22.13,110.65,11.07,99.58
10/15/2024,Health & Wellness,Onions,2,20.84,41.68,8.34,33.34
2/13/2025,Canned Goods,Tomatoes,3,2.91,8.73,1.75,6.98
6/27/2024,Snacks & Candy,Salmon,2,8.67,17.34,0,17.34
7/20/2024,Household Items,Tomatoes,3,7.35,22.05,4.02,18.03
4/26/2025,Meat & Seafood,Apples,4,18.29,73.16,4.98,68.18
3/18/2025,Frozen Foods,Onions,1,20.72,20.72,0,20.72
1/30/2025,Dairy,Rice,4,5.58,22.32,4.05,18.27
4/27/2024,Dairy,Rice,5,18.65,93.25,18.65,74.6
12/5/2023,Personal Care,Bananas,5,10.39,51.95,7.79,44.16
3/22/2025,Bakery,Milk,2,26.45,52.9,3.93,48.97
10/25/2023,Personal Care,Eggs,2,20.12,40.24,6.04,34.2
5/28/2024,Household Items,Cheese,2,27.93,55.86,0,55.86
5/11/2024,Snacks & Candy,Orange Juice,4,27.08,108.32,21.66,86.66
11/17/2024,Dairy,Cereal,1,18.05,18.05,1.28,16.77
4/24/2025,Bakery,Bread,1,25.92,25.92,3.89,22.03
2/23/2025,Bakery,Onions,2,21.97,43.94,8.79,35.15
9/26/2024,Snacks & Candy,Yogurt,1,3.8,3.8,0.38,3.42
7/23/2025,Beverages,Milk,1,2.75,2.75,1.99,0.76
10/7/2023,Personal Care,Salmon,2,13.22,26.44,5.29,21.15
5/12/2025,Beverages,Onions,1,2.46,2.46,4.71,-2.25
10/28/2024,Meat & Seafood,Cheese,4,14.95,59.8,1.66,58.14
2/4/2025,Snacks & Candy,Pasta,4,9.26,37.04,7.41,29.63
9/11/2023,Frozen Foods,Yogurt,1,17.79,17.79,0,17.79
3/29/2025,Produce,Milk,5,14.82,74.1,4.84,69.26
10/7/2023,Meat & Seafood,Bread,5,2.96,14.8,1.48,13.32
6/10/2025,Household Items,Ground Beef,5,18.23,91.15,9.12,82.03
5/28/2024,Canned Goods,Pasta,2,20.41,40.82,6.12,34.7
7/24/2024,Meat & Seafood,Rice,4,10.16,40.64,2.83,37.81
12/11/2023,Dairy,Onions,2,15.66,31.32,4.52,26.8
5/8/2024,Frozen Foods,Apples,4,25.17,100.68,4.94,95.74
1/8/2025,Produce,Onions,3,28.01,84.03,12.6,71.43
2/2/2025,Dairy,Onions,2,8.89,17.78,0,17.78
11/22/2024,Bakery,Pasta,5,15.16,75.8,3.54,72.26
9/24/2024,Produce,Bananas,3,23.35,70.05,14.01,56.04
12/11/2023,Personal Care,Cheese,5,1.27,6.35,1.14,5.21
5/27/2024,Household Items,Onions,2,13.45,26.9,4.03,22.87
7/25/2025,Canned Goods,Yogurt,2,20.33,40.66,4,36.66
1/19/2025,Meat & Seafood,Apples,4,1.71,6.84,0.68,6.16
5/22/2025,Frozen Foods,Apples,1,12.08,12.08,2.42,9.66
1/31/2024,Beverages,Orange Juice,3,24.79,74.37,14.87,59.5
4/23/2025,Health & Wellness,Yogurt,4,10.51,42.04,6.31,35.73
6/13/2024,Health & Wellness,Carrots,4,20.7,82.8,1.46,81.34
