date,category,product_name,quantity,price,sales
1/25/2025,Home & Kitchen,Cookware Set,2,25574.41,51148.82
8/28/2025,Beauty,Hair Dryer,1,19361.41,19361.41
2/27/2025,Electronics,Tablet,3,38476.22,115428.66
2/24/2025,Electronics,Headphones,5,38145.72,190728.6
6/15/2025,Clothing,Saree,5,45940.98,229704.9
2/10/2025,Home & Kitchen,Cookware Set,1,12195.41,12195.41
5/16/2025,Clothing,Jeans,4,47353.06,189412.24
8/13/2025,Clothing,Sneakers,4,49758.44,199033.76
4/28/2025,Clothing,T-Shirt,3,1247.51,3742.53
9/21/2025,Clothing,T-Shirt,1,43009.84,43009.84
10/23/2025,Clothing,Saree,2,36222.96,72445.92
8/5/2025,Clothing,T-Shirt,1,33017.34,33017.34
5/8/2025,Electronics,Smartphone,4,36465.04,145860.16
2/8/2025,Clothing,Jacket,2,14071.55,28143.1
9/4/2025,Electronics,Smartphone,2,8482.29,16964.58
5/27/2025,Beauty,Face Cream,4,13407.11,53628.44
2/1/2025,Home & Kitchen,Cookware Set,1,29043.18,29043.18
2/11/2025,Beauty,Hair Dryer,5,8040.15,40200.75
5/7/2025,Clothing,Jacket,1,47091.49,47091.49
12/9/2025,Books,Comics,3,46748.37,140245.11
1/5/2025,Clothing,Sneakers,4,15945.62,63782.48
2/5/2025,Clothing,Saree,3,6796.34,20389.02
1/5/2025,Beauty,Hair Dryer,3,30661.55,91984.65
11/6/2025,Electronics,Smartphone,5,7941.31,39706.55
2/17/2025,Books,Children's Book,3,45285.76,135857.28
10/10/2025,Home & Kitchen,Cookware Set,3,8246.78,24740.34
10/10/2025,Clothing,Saree,1,41762.83,41762.83
12/16/2025,Home & Kitchen,Vacuum Cleaner,1,44966.45,44966.45
3/25/2025,Beauty,Hair Dryer,2,46303.04,92606.08
7/15/2025,Home & Kitchen,Air Fryer,2,13486.92,26973.84
4/25/2025,Beauty,Lipstick,3,41062.71,123188.13
7/24/2025,Home & Kitchen,Mixer Grinder,3,17687.08,53061.24
1/20/2025,Home & Kitchen,Cookware Set,5,48134.21,240671.05
4/8/2025,Beauty,Hair Dryer,5,5959.16,29795.8
7/6/2025,Electronics,Tablet,5,34405.49,172027.45
9/17/2025,Books,Biography,1,36043.76,36043.76
12/13/2025,Home & Kitchen,Water Purifier,2,9753.64,19507.28
11/7/2025,Electronics,Headphones,3,10667.1,32001.3
12/4/2025,Clothing,Saree,4,39728.02,158912.08
4/12/2025,Home & Kitchen,Mixer Grinder,2,33705.22,67410.44
4/10/2025,Beauty,Hair Dryer,1,22879.73,22879.73
4/1/2025,Clothing,T-Shirt,1,38965.34,38965.34
12/8/2025,Clothing,T-Shirt,4,6840.29,27361.16
9/1/2025,Books,Children's Book,5,22406.5,112032.5
5/27/2025,Books,Children's Book,2,13874.95,27749.9
12/22/2025,Books,Fiction Novel,2,7711.37,15422.74
4/16/2025,Beauty,Lipstick,5,23403.03,117015.15
6/2/2025,Books,Children's Book,4,493.62,1974.48
9/6/2025,Books,Science Textbook,4,11127.2,44508.8
1/14/2025,Clothing,Jacket,2,49039.95,98079.9
6/17/2025,Clothing,Jacket,2,2704.17,5408.34
8/29/2025,Beauty,Lipstick,4,12763.12,51052.48
1/11/2025,Electronics,Smartphone,1,47490.66,47490.66
7/8/2025,Electronics,Tablet,2,23358.69,46717.38
12/13/2025,Electronics,Tablet,1,46458.58,46458.58
12/17/2025,Electronics,Tablet,2,5274.69,10549.38
1/7/2025,Beauty,Lipstick,1,25396.85,25396.85
11/30/2025,Home & Kitchen,Air Fryer,2,21887.26,43774.52
5/23/2025,Books,Biography,3,42615.32,127845.96
4/4/2025,Books,Children's Book,3,1629.26,4887.78
10/12/2025,Home & Kitchen,Vacuum Cleaner,5,35118.95,175594.75
11/27/2025,Beauty,Shampoo,5,37956.6,189783
12/6/2025,Home & Kitchen,Cookware Set,4,34651,138604
5/19/2025,Home & Kitchen,Air Fryer,5,16673.41,83367.05
4/9/2025,Clothing,Sneakers,1,37195.48,37195.48
6/1/2025,Books,Comics,3,49029.43,147088.29
10/11/2025,Electronics,Tablet,2,13860.7,27721.4
8/14/2025,Electronics,Smartphone,5,14360.1,71800.5
10/23/2025,Beauty,Face Cream,1,20155.23,20155.23
11/7/2025,Home & Kitchen,Mixer Grinder,2,6098.89,12197.78
1/31/2025,Home & Kitchen,Water Purifier,4,15407.94,61631.76
2/8/2025,Home & Kitchen,Mixer Grinder,2,12145.29,24290.58
12/28/2025,Books,Children's Book,3,1825.46,5476.38
4/26/2025,Home & Kitchen,Water Purifier,2,21371.92,42743.84
5/28/2025,Electronics,Laptop,3,29833.19,89499.57
2/11/2025,Beauty,Lipstick,5,27091.08,135455.4
10/28/2025,Books,Biography,1,4748.08,4748.08
4/3/2025,Clothing,Jacket,5,32645.17,163225.85
3/24/2025,Home & Kitchen,Air Fryer,3,16188.7,48566.1
6/11/2025,Home & Kitchen,Air Fryer,5,2027.52,10137.6
4/7/2025,Books,Fiction Novel,5,23206.42,116032.1
5/28/2025,Beauty,Face Cream,2,13499.4,26998.8
10/10/2025,Books,Science Textbook,2,15675.36,31350.72
9/18/2025,Beauty,Face Cream,2,25019.1,50038.2
11/3/2025,Clothing,Jacket,5,7403.17,37015.85
5/25/2025,Beauty,Lipstick,5,13505.2,67526
7/13/2025,Books,Children's Book,3,16755.51,50266.53
1/23/2025,Books,Children's Book,2,42829.45,85658.9
9/15/2025,Beauty,Perfume,4,48248.26,192993.04
12/2/2025,Books,Children's Book,1,36177.7,36177.7
12/12/2025,Home & Kitchen,Water Purifier,4,32561.87,130247.48
4/27/2025,Books,Fiction Novel,5,3607.35,18036.75
6/16/2025,Beauty,Perfume,3,45190.52,135571.56
12/16/2025,Beauty,Perfume,2,26652.08,53304.16
10/26/2025,Books,Children's Book,5,34220.1,171100.5
5/28/2025,Beauty,Lipstick,1,44965.64,44965.64
12/20/2025,Home & Kitchen,Water Purifier,3,32019.15,96057.45
7/3/2025,Beauty,Shampoo,1,12012.84,12012.84
11/7/2025,Home & Kitchen,Mixer Grinder,5,43280.36,216401.8
11/18/2025,Home & Kitchen,Cookware Set,2,31120.38,62240.76
6/1/2025,Electronics,Tablet,3,36671.52,110014.56
3/26/2025,Clothing,Saree,3,26636.45,79909.35
12/13/2025,Electronics,Smartwatch,1,7209.7,7209.7
12/11/2025,Electronics,Headphones,5,6354.72,31773.6
